,Year,Division,All,PK,KG,1,2,3,4,5,6,7,8,9,10,11,12
96,2018 - 2019,Powhatan County Public Schools,4323.0,62.0,265.0,280.0,321.0,310.0,302.0,338.0,326.0,359.0,340.0,374.0,352.0,334.0,360.0
97,2018 - 2019,Prince Edward County Public Schools,2079.0,116.0,137.0,154.0,146.0,149.0,151.0,164.0,143.0,147.0,153.0,175.0,172.0,130.0,142.0
98,2018 - 2019,Prince George County Public Schools,6360.0,124.0,465.0,492.0,489.0,465.0,485.0,498.0,535.0,527.0,461.0,498.0,455.0,430.0,436.0
99,2018 - 2019,Prince William County Public Schools,90876.0,1465.0,6244.0,6683.0,6614.0,6699.0,6910.0,6941.0,7121.0,7176.0,6790.0,7535.0,7124.0,6945.0,6629.0
100,2018 - 2019,Pulaski County Public Schools,4081.0,151.0,323.0,309.0,266.0,283.0,292.0,332.0,300.0,286.0,310.0,340.0,296.0,282.0,311.0
101,2018 - 2019,Radford City Public Schools,1646.0,43.0,112.0,115.0,116.0,105.0,128.0,115.0,134.0,138.0,131.0,137.0,117.0,134.0,121.0
102,2018 - 2019,Rappahannock County Public Schools,802.0,21.0,45.0,45.0,69.0,59.0,57.0,61.0,62.0,61.0,51.0,71.0,66.0,56.0,78.0
103,2018 - 2019,Richmond City Public Schools,24763.0,1570.0,2066.0,2039.0,2005.0,2049.0,2030.0,2017.0,1888.0,1654.0,1665.0,1770.0,1542.0,1256.0,1212.0
104,2018 - 2019,Richmond County Public Schools,1314.0,37.0,83.0,82.0,106.0,88.0,97.0,120.0,107.0,95.0,100.0,112.0,83.0,99.0,105.0
105,2018 - 2019,Roanoke City Public Schools,13754.0,554.0,1144.0,1120.0,1092.0,1065.0,1060.0,1161.0,1056.0,961.0,919.0,1058.0,945.0,842.0,777.0
106,2018 - 2019,Roanoke County Public Schools,14121.0,303.0,1003.0,918.0,946.0,1025.0,1022.0,1086.0,1113.0,1133.0,1126.0,1128.0,1118.0,1114.0,1086.0
107,2018 - 2019,Rockbridge County Public Schools,2843.0,59.0,196.0,171.0,169.0,181.0,194.0,214.0,236.0,208.0,218.0,277.0,262.0,225.0,233.0
108,2018 - 2019,Rockingham County Public Schools,11931.0,442.0,808.0,832.0,824.0,871.0,889.0,858.0,891.0,910.0,899.0,959.0,891.0,950.0,906.0
109,2018 - 2019,Russell County Public Schools,3785.0,217.0,264.0,280.0,254.0,261.0,273.0,293.0,273.0,260.0,311.0,254.0,294.0,292.0,259.0
110,2018 - 2019,Salem City Public Schools,3962.0,74.0,260.0,278.0,272.0,257.0,317.0,280.0,323.0,306.0,313.0,338.0,338.0,297.0,305.0
111,2018 - 2019,Scott County Public Schools,3534.0,130.0,266.0,268.0,250.0,277.0,269.0,267.0,255.0,271.0,260.0,266.0,248.0,236.0,271.0
112,2018 - 2019,Shenandoah County Public Schools,6034.0,140.0,426.0,455.0,416.0,426.0,432.0,485.0,478.0,458.0,423.0,504.0,472.0,492.0,423.0
113,2018 - 2019,Smyth County Public Schools,4332.0,145.0,292.0,300.0,295.0,293.0,300.0,333.0,356.0,328.0,362.0,352.0,347.0,302.0,327.0
114,2018 - 2019,Southampton County Public Schools,2869.0,156.0,216.0,183.0,190.0,219.0,188.0,257.0,229.0,206.0,192.0,220.0,225.0,192.0,196.0
115,2018 - 2019,Spotsylvania County Public Schools,23686.0,490.0,1536.0,1591.0,1716.0,1694.0,1683.0,1864.0,1840.0,1804.0,1899.0,2022.0,1872.0,1813.0,1859.0
116,2018 - 2019,Stafford County Public Schools,29485.0,603.0,1900.0,1989.0,2071.0,2117.0,2138.0,2246.0,2335.0,2318.0,2277.0,2484.0,2454.0,2223.0,2330.0
117,2018 - 2019,Staunton City Public Schools,2728.0,91.0,190.0,215.0,228.0,186.0,198.0,230.0,187.0,215.0,216.0,210.0,170.0,200.0,192.0
118,2018 - 2019,Suffolk City Public Schools,14265.0,501.0,933.0,1061.0,1091.0,1112.0,1073.0,1086.0,1124.0,1127.0,1038.0,1287.0,1110.0,876.0,846.0
119,2018 - 2019,Surry County Public Schools,758.0,39.0,52.0,61.0,42.0,52.0,55.0,45.0,61.0,53.0,62.0,66.0,55.0,54.0,61.0
120,2018 - 2019,Sussex County Public Schools,1078.0,49.0,83.0,78.0,75.0,81.0,91.0,71.0,87.0,73.0,75.0,97.0,79.0,80.0,59.0
121,2018 - 2019,Tazewell County Public Schools,5655.0,149.0,391.0,413.0,398.0,379.0,397.0,430.0,437.0,450.0,464.0,490.0,427.0,438.0,390.0
122,2018 - 2019,Virginia Beach City Public Schools,68624.0,1443.0,4641.0,5117.0,5077.0,5152.0,5220.0,5276.0,5255.0,5362.0,5320.0,5468.0,5258.0,4986.0,5049.0
123,2018 - 2019,Virginia School for the Deaf and Blind-Staunton,81.0,4.0,2.0,3.0,6.0,3.0,6.0,8.0,5.0,8.0,12.0,24.0,,,
124,2018 - 2019,Warren County Public Schools,5302.0,116.0,367.0,355.0,393.0,344.0,381.0,410.0,446.0,409.0,407.0,442.0,435.0,396.0,401.0
125,2018 - 2019,Washington County Public Schools,7093.0,224.0,476.0,506.0,448.0,499.0,543.0,510.0,576.0,541.0,536.0,564.0,557.0,568.0,545.0
126,2018 - 2019,Waynesboro City Public Schools,3034.0,94.0,201.0,231.0,236.0,222.0,251.0,257.0,232.0,236.0,229.0,235.0,212.0,198.0,200.0
127,2018 - 2019,West Point Public Schools,813.0,13.0,51.0,51.0,64.0,48.0,46.0,72.0,63.0,75.0,59.0,73.0,61.0,72.0,65.0
128,2018 - 2019,Westmoreland County Public Schools,1651.0,84.0,122.0,127.0,111.0,110.0,111.0,128.0,133.0,127.0,109.0,133.0,121.0,108.0,127.0
129,2018 - 2019,Williamsburg-James City County Public Schools,11813.0,319.0,807.0,791.0,886.0,825.0,846.0,875.0,898.0,874.0,874.0,990.0,951.0,966.0,911.0
130,2018 - 2019,Winchester City Public Schools,4357.0,156.0,304.0,324.0,312.0,295.0,303.0,350.0,338.0,336.0,319.0,357.0,374.0,297.0,292.0
131,2018 - 2019,Wise County Public Schools,5757.0,245.0,416.0,395.0,389.0,436.0,445.0,444.0,476.0,396.0,437.0,414.0,382.0,424.0,456.0
132,2018 - 2019,Wythe County Public Schools,4076.0,130.0,286.0,304.0,270.0,274.0,300.0,293.0,316.0,327.0,325.0,306.0,340.0,286.0,319.0
133,2018 - 2019,York County Public Schools,12982.0,205.0,919.0,925.0,989.0,942.0,923.0,1011.0,979.0,995.0,1040.0,1021.0,1055.0,1016.0,952.0
134,2019 - 2020,Accomack County Public Schools,5171.0,179.0,348.0,332.0,357.0,400.0,368.0,385.0,423.0,388.0,404.0,484.0,380.0,345.0,369.0
135,2019 - 2020,Albemarle County Public Schools,14435.0,298.0,1091.0,1081.0,1070.0,1062.0,1050.0,1151.0,1070.0,1108.0,983.0,1174.0,1111.0,1083.0,1103.0
136,2019 - 2020,Alexandria City Public Schools,16307.0,494.0,1445.0,1489.0,1374.0,1341.0,1326.0,1225.0,1163.0,1219.0,1081.0,1275.0,975.0,929.0,971.0
137,2019 - 2020,Alleghany County Public Schools,2024.0,104.0,186.0,131.0,136.0,132.0,124.0,147.0,150.0,143.0,155.0,170.0,148.0,141.0,157.0
138,2019 - 2020,Amelia County Public Schools,1731.0,61.0,122.0,103.0,134.0,115.0,142.0,130.0,151.0,134.0,132.0,138.0,133.0,108.0,128.0
139,2019 - 2020,Amherst County Public Schools,4115.0,139.0,290.0,312.0,303.0,275.0,307.0,293.0,343.0,339.0,335.0,322.0,278.0,290.0,289.0
140,2019 - 2020,Appomattox County Public Schools,2279.0,61.0,181.0,166.0,176.0,154.0,171.0,178.0,179.0,169.0,167.0,169.0,185.0,173.0,150.0
141,2019 - 2020,Arlington County Public Schools,28151.0,1077.0,2231.0,2319.0,2267.0,2146.0,2148.0,2161.0,2135.0,2114.0,1880.0,2079.0,1911.0,1782.0,1901.0
142,2019 - 2020,Augusta County Public Schools,10342.0,307.0,706.0,721.0,757.0,730.0,730.0,744.0,777.0,854.0,797.0,854.0,792.0,811.0,762.0
143,2019 - 2020,Bath County Public Schools,530.0,32.0,35.0,42.0,35.0,41.0,39.0,39.0,38.0,37.0,38.0,41.0,41.0,40.0,31.0
144,2019 - 2020,Bedford County Public Schools,9562.0,164.0,702.0,678.0,686.0,675.0,684.0,704.0,689.0,740.0,763.0,767.0,755.0,797.0,758.0
145,2019 - 2020,Bland County Public Schools,693.0,11.0,41.0,50.0,51.0,52.0,41.0,50.0,57.0,63.0,47.0,61.0,58.0,66.0,45.0
146,2019 - 2020,Botetourt County Public Schools,4672.0,101.0,335.0,309.0,315.0,311.0,319.0,355.0,328.0,352.0,372.0,389.0,393.0,384.0,409.0
147,2019 - 2020,Bristol City Public Schools,2255.0,109.0,184.0,163.0,175.0,157.0,175.0,157.0,167.0,158.0,169.0,167.0,176.0,133.0,165.0
148,2019 - 2020,Brunswick County Public Schools,1538.0,43.0,108.0,100.0,110.0,108.0,110.0,115.0,127.0,108.0,111.0,130.0,126.0,118.0,124.0
149,2019 - 2020,Buchanan County Public Schools,2676.0,132.0,171.0,202.0,181.0,168.0,194.0,194.0,204.0,179.0,209.0,203.0,212.0,211.0,216.0
150,2019 - 2020,Buckingham County Public Schools,2113.0,111.0,144.0,152.0,156.0,154.0,159.0,170.0,176.0,168.0,150.0,161.0,134.0,139.0,139.0
151,2019 - 2020,Buena Vista City Public Schools,895.0,50.0,62.0,61.0,65.0,55.0,55.0,67.0,63.0,62.0,57.0,80.0,81.0,75.0,62.0
152,2019 - 2020,Campbell County Public Schools,7921.0,250.0,533.0,569.0,554.0,572.0,600.0,583.0,619.0,656.0,593.0,580.0,648.0,568.0,596.0
153,2019 - 2020,Caroline County Public Schools,4253.0,122.0,353.0,448.0,320.0,258.0,320.0,328.0,320.0,309.0,314.0,345.0,294.0,254.0,268.0
154,2019 - 2020,Carroll County Public Schools,3713.0,150.0,264.0,280.0,268.0,261.0,253.0,294.0,290.0,279.0,276.0,309.0,262.0,260.0,267.0
155,2019 - 2020,Charles City County Public Schools,620.0,32.0,56.0,40.0,52.0,41.0,48.0,42.0,36.0,34.0,49.0,61.0,34.0,49.0,46.0
156,2019 - 2020,Charlotte County Public Schools,1763.0,71.0,124.0,141.0,129.0,129.0,115.0,130.0,130.0,115.0,135.0,154.0,150.0,132.0,108.0
157,2019 - 2020,Charlottesville City Public Schools,4549.0,235.0,351.0,401.0,393.0,354.0,384.0,312.0,359.0,273.0,257.0,336.0,323.0,280.0,286.0
158,2019 - 2020,Chesapeake City Public Schools,41597.0,898.0,2695.0,2834.0,3005.0,2909.0,3032.0,3120.0,3211.0,3335.0,3320.0,3456.0,3356.0,3232.0,3194.0
159,2019 - 2020,Chesterfield County Public Schools,62669.0,900.0,4290.0,4574.0,4370.0,4616.0,4612.0,4811.0,4876.0,4969.0,4924.0,5253.0,5056.0,4656.0,4762.0
160,2019 - 2020,Clarke County Public Schools,1926.0,36.0,105.0,119.0,110.0,139.0,127.0,141.0,154.0,149.0,180.0,155.0,176.0,167.0,168.0
161,2019 - 2020,Colonial Beach Public Schools,652.0,35.0,44.0,51.0,44.0,49.0,51.0,48.0,51.0,49.0,54.0,40.0,57.0,42.0,37.0
