Year,Level,Division,Grade,Count
2018 - 2019,DIV,Chesapeake City Public Schools,PK,884
2018 - 2019,DIV,Chesapeake City Public Schools,KG,2500
2018 - 2019,DIV,Chesapeake City Public Schools,1,2921
2018 - 2019,DIV,Chesapeake City Public Schools,2,2811
2018 - 2019,DIV,Chesapeake City Public Schools,3,2975
2018 - 2019,DIV,Chesapeake City Public Schools,4,3001
2018 - 2019,DIV,Chesapeake City Public Schools,5,3015
2018 - 2019,DIV,Chesapeake City Public Schools,6,3238
2018 - 2019,DIV,Chesapeake City Public Schools,7,3283
2018 - 2019,DIV,Chesapeake City Public Schools,8,3189
2018 - 2019,DIV,Chesapeake City Public Schools,9,3624
2018 - 2019,DIV,Chesapeake City Public Schools,10,3440
2018 - 2019,DIV,Chesapeake City Public Schools,11,2998
2018 - 2019,DIV,Chesapeake City Public Schools,12,3019
2018 - 2019,DIV,Chesterfield County Public Schools,,61608
2018 - 2019,DIV,Chesterfield County Public Schools,PK,785
2018 - 2019,DIV,Chesterfield County Public Schools,KG,4285
2018 - 2019,DIV,Chesterfield County Public Schools,1,4320
2018 - 2019,DIV,Chesterfield County Public Schools,2,4458
2018 - 2019,DIV,Chesterfield County Public Schools,3,4458
2018 - 2019,DIV,Chesterfield County Public Schools,4,4662
2018 - 2019,DIV,Chesterfield County Public Schools,5,4676
2018 - 2019,DIV,Chesterfield County Public Schools,6,4850
2018 - 2019,DIV,Chesterfield County Public Schools,7,4859
2018 - 2019,DIV,Chesterfield County Public Schools,8,4811
2018 - 2019,DIV,Chesterfield County Public Schools,9,5042
2018 - 2019,DIV,Chesterfield County Public Schools,10,4945
2018 - 2019,DIV,Chesterfield County Public Schools,11,4608
2018 - 2019,DIV,Chesterfield County Public Schools,12,4849
2018 - 2019,DIV,Clarke County Public Schools,,1971
2018 - 2019,DIV,Clarke County Public Schools,PK,40
2018 - 2019,DIV,Clarke County Public Schools,KG,117
2018 - 2019,DIV,Clarke County Public Schools,1,110
2018 - 2019,DIV,Clarke County Public Schools,2,139
2018 - 2019,DIV,Clarke County Public Schools,3,117
2018 - 2019,DIV,Clarke County Public Schools,4,138
2018 - 2019,DIV,Clarke County Public Schools,5,146
2018 - 2019,DIV,Clarke County Public Schools,6,153
2018 - 2019,DIV,Clarke County Public Schools,7,174
2018 - 2019,DIV,Clarke County Public Schools,8,147
2018 - 2019,DIV,Clarke County Public Schools,9,174
2018 - 2019,DIV,Clarke County Public Schools,10,163
2018 - 2019,DIV,Clarke County Public Schools,11,172
2018 - 2019,DIV,Clarke County Public Schools,12,181
2018 - 2019,DIV,Colonial Beach Public Schools,,671
2018 - 2019,DIV,Colonial Beach Public Schools,PK,31
2018 - 2019,DIV,Colonial Beach Public Schools,KG,51
2018 - 2019,DIV,Colonial Beach Public Schools,1,49
2018 - 2019,DIV,Colonial Beach Public Schools,2,50
2018 - 2019,DIV,Colonial Beach Public Schools,3,52
2018 - 2019,DIV,Colonial Beach Public Schools,4,50
2018 - 2019,DIV,Colonial Beach Public Schools,5,55
2018 - 2019,DIV,Colonial Beach Public Schools,6,53
2018 - 2019,DIV,Colonial Beach Public Schools,7,56
2018 - 2019,DIV,Colonial Beach Public Schools,8,49
2018 - 2019,DIV,Colonial Beach Public Schools,9,49
2018 - 2019,DIV,Colonial Beach Public Schools,10,43
2018 - 2019,DIV,Colonial Beach Public Schools,11,37
2018 - 2019,DIV,Colonial Beach Public Schools,12,46
